,Difference (|)
942,-40.20678068945305
943,-37.07028648532164
944,-45.23896029893112
945,-49.32174365769209
946,-33.57039786476628
947,-35.6390470921738
948,-42.00513217895326
949,-41.1309446124088
950,-48.26921708409995
951,-50.3330638921677
952,-40.89879661290918
953,-31.46957762020469
954,-39.9996146639306
955,-34.716026793077894
956,-42.09578079835627
957,-39.61171426055569
958,-33.575325731375806
959,-34.240980141539026
960,-48.457489510568
961,-35.85920341853524
962,-42.12916155057042
963,-40.437591880324476
964,-30.29197306427568
965,-40.58585883696785
966,-42.148359477031335
967,-37.096539268189936
968,-38.23654530646582
969,-41.725962899744346
970,-38.58902139794018
971,-26.18651608201465
972,-40.50174755534841
973,-34.05268178848202
974,-33.955946502994124
975,-57.49970876319443
976,-37.350389169732246
977,-48.098910782558754
978,-34.76235710191487
979,-57.027302445404494
980,-37.048997926342764
981,-35.84172521730627
982,-35.671355748700456
983,-51.55274005020283
984,-35.93698488618018
985,-43.864994335461574
986,-33.563779809605826
987,-39.244884744407315
988,-30.69934280376906
989,-35.64756455229928
990,-41.64638685658792
991,-34.66891285521064
992,-42.36062235197456
993,-51.0442143218347
994,-38.06789108042019
995,-40.08597425734834
996,-40.54649146060607
997,-38.215030688854114
998,-42.39439400825354
999,-34.35273830881278
1000,-42.928128461687905
1001,-38.12590952560516
1002,-37.13802609832988
1003,-44.72439206095276
1004,-42.926095672878304
1005,-36.718260180193674
1006,-27.81029950609969
1007,-30.66663198675827
1008,-31.65250280521952
1009,-39.2349580368098
1010,-45.30871422386611
1011,-33.82658762060088
1012,-33.814220626239674
1013,-41.412371559804335
1014,-38.24552626149899
1015,-45.973775987499046
1016,-39.38363701830637
1017,-37.948890575576826
1018,-33.99161096036659
1019,-31.888325721678605
1020,-34.192372589707325
1021,-30.79697268684972
1022,-29.801903956682107
1023,-33.04714807219792
1024,-48.25742303494255
1025,-36.01410087625483
1026,-31.69929242901964
1027,-33.51026650845205
1028,-36.19356744346131
1029,-31.375013663662365
1030,-42.52343560283362
1031,-40.34690018438682
1032,-47.412267497856035
1033,-38.05526458860197
1034,-31.594287617402596
1035,-37.22680112227492
1036,-33.59487598973432
1037,-50.76956183807948
1038,-34.70612209488465
1039,-38.68650195102809
1040,-39.962017413756925
1041,-36.00737085230713
1042,-47.344419464860025
1043,-43.37890989334193
1044,-36.6562406961184
1045,-36.973579502358184
1046,-47.12458075438219
1047,-46.847481986464146
1048,-43.28740785157741
1049,-43.496109373736125
1050,-30.010724623489885
1051,-45.52963962634672
1052,-42.05948957821764
1053,-34.64710789037397
1054,-47.52991275146146
1055,-35.967048455369714
1056,-33.11548729738466
1057,-46.06632116937949
1058,-37.79350164543774
1059,-43.296285492537976
1060,-42.75409202255809
1061,-37.279696239573994
1062,-35.74864165981139
1063,-36.93988808949073
1064,-37.020984798926975
1065,-39.76459129300639
1066,-41.984663318604454
1067,-37.20082605457936
1068,-46.510175167583604
1069,-48.91985203303374
1070,-47.699469464829185
1071,-52.91655538429711
1072,-40.42353836254717
1073,-38.44686499519153
1074,-40.31142811514978
1075,-37.74073603684469
1076,-35.31490112649311
1077,-39.871109063670055
1078,-37.515738397472546
1079,-41.90897954966037
1080,-37.663171372832196
1081,-47.168322222678896
1082,-41.40916202164297
1083,-36.46773069642754
1084,-40.08729573599685
1085,-38.202782487833275
1086,-26.661937077421705
1087,-33.5153378437485
1088,-31.40671235255196
1089,-34.649479096407156
1090,-40.157115788742615
1091,-36.55990437969057
1092,-32.79555604366944
1093,-40.53619068996545
1094,-35.95555203832492
1095,-38.509418638510816
1096,-35.171738969902876
1097,-35.19213545192827
1098,-36.75823014941056
1099,-25.6768112239434
1100,-36.71656971893069
1101,-33.01756772068297
1102,-40.43538740212284
1103,-34.681593510817834
1104,-55.095563226848206
1105,-47.7468388116948
1106,-28.951917801222198
1107,-39.79300194931457
1108,-51.1737293250209
1109,-52.223616328668236
1110,-44.27104771177385
1111,-45.10549200734047
1112,-45.005880871058125
1113,-30.379657223409712
1114,-49.10291360850623
1115,-41.83695413714889
1116,-37.62701865458832
1117,-35.299308790353265
1118,-31.613419325193078
1119,-38.51725987905203
1120,-31.36132169416686
1121,-35.149080150593264
1122,-35.58636894388679
1123,-35.73537794368019
1124,-41.562078309451685
1125,-44.54833956730388
1126,-29.851145100894005
1127,-43.970801089902174
1128,-42.73582469896506
1129,-29.833725020893873
1130,-31.586089002524627
1131,-30.127253839202055
1132,-37.714011493358086
1133,-37.03637665479477
1134,-33.390468176072886
1135,-47.7552897512292
1136,-32.09401648286926
1137,-35.93398594294569
1138,-29.586990208910922
1139,-34.884902467762
1140,-39.4305506472255
1141,-45.2411950717988
1142,-49.89639847968713
1143,-43.38826182417926
1144,-28.522031651908172
1145,-43.88677817499951
1146,-29.444300673060816
1147,-37.9956721997356
1148,-25.81513744624267
1149,-40.16146054192002
1150,-32.66387426605766
1151,-43.86096574662383
1152,-32.64007801979211
1153,-28.058806842823852
1154,-38.482547699534656
1155,-37.029020044570046
1156,-37.72730905292654
1157,-38.74013425374273
1158,-32.659650785093035
1159,-36.79670728687994
1160,-33.812405963701494
1161,-28.67998980942307
1162,-33.17789989406396
1163,-41.70534677172783
1164,-44.54146776459916
1165,-40.33271455270167
1166,-39.9211695149633
1167,-36.633714185106975
1168,-37.84295011627053
1169,-36.857197859189334
1170,-32.00207916203915
1171,-37.36289978836865
1172,-36.616904347432985
1173,-42.03932124128071
1174,-27.498879488046377
1175,-45.982653933050926
1176,-39.61622629626274
1177,-52.26438467527129
1178,-31.516786436508816
1179,-26.22466965592232
1180,-43.4287994943954
1181,-46.66956740330424
1182,-39.10769688760643
1183,-41.60040117320578
1184,-46.64387091816606
1185,-41.497881930311095
1186,-35.3375459348412
1187,-38.104925617114425
1188,-30.188172676249675
1189,-39.65957314440739
1190,-40.34972948162935
1191,-40.11112089133377
1192,-32.444589991962125
1193,-45.70708753784443
1194,-30.34680059961614
1195,-37.356843704713796
1196,-40.0244362458932
1197,-39.722966680995164
1198,-35.40012747656191
1199,-42.57828931977129
1200,-30.594842439169714
1201,-36.45154565509804
1202,-38.10757189459257
1203,-34.130610586660126
1204,-37.56209062716274
1205,-35.17408935237513
1206,-39.69060245318248
1207,-36.976688447267726
1208,-37.02376069038523
1209,-25.825821055758087
1210,-47.098148851869695
1211,-38.534348112724764
1212,-35.931794202788964
1213,-25.81548445726305
1214,-39.905093615579084
1215,-32.41786506846555
1216,-29.58127004122146
1217,-29.382566087555517
1218,-38.537190432833285
1219,-28.17186912588796
1220,-46.070130313032514
